run_index,phase,method,function,dimension,noise_sigma,seed,eval_budget,popsize,status,error_message,n_evals,generations,final_best,proxy_sigma_factor_last,proxy_ema_snr_last,duration_sec
96,eval,vanilla_cma,rosenbrock,10,0.0,105,200,10,ok,,200,20,362.94498026034927,1.0,0.0,0.008136987686157227
97,eval,vanilla_cma,rosenbrock,10,0.0,106,200,10,ok,,200,20,159.53763373806828,1.0,0.0,0.007980108261108398
98,eval,vanilla_cma,rosenbrock,10,0.0,107,200,10,ok,,200,20,342.74385071399723,1.0,0.0,0.008135795593261719
99,eval,vanilla_cma,rosenbrock,10,0.0,108,200,10,ok,,200,20,576.4656565222283,1.0,0.0,0.009990930557250977
100,eval,vanilla_cma,rosenbrock,10,0.0,109,200,10,ok,,200,20,2521.771313011855,1.0,0.0,0.009989023208618164
101,eval,vanilla_cma,rosenbrock,10,0.1,100,200,10,ok,,200,20,447.2485036311106,1.0,0.0,0.011250972747802734
102,eval,vanilla_cma,rosenbrock,10,0.1,101,200,10,ok,,200,20,1200.3831042716554,1.0,0.0,0.008088827133178711
103,eval,vanilla_cma,rosenbrock,10,0.1,102,200,10,ok,,200,20,301.1297524170546,1.0,0.0,0.04918980598449707
104,eval,vanilla_cma,rosenbrock,10,0.1,103,200,10,ok,,200,20,442.63120552493876,1.0,0.0,0.04617595672607422
105,eval,vanilla_cma,rosenbrock,10,0.1,104,200,10,ok,,200,20,727.077056867599,1.0,0.0,0.04081988334655762
106,eval,vanilla_cma,rosenbrock,10,0.1,105,200,10,ok,,200,20,362.8073288343102,1.0,0.0,0.008396148681640625
107,eval,vanilla_cma,rosenbrock,10,0.1,106,200,10,ok,,200,20,159.5042761735542,1.0,0.0,0.008375167846679688
108,eval,vanilla_cma,rosenbrock,10,0.1,107,200,10,ok,,200,20,342.74488516828984,1.0,0.0,0.011890172958374023
109,eval,vanilla_cma,rosenbrock,10,0.1,108,200,10,ok,,200,20,576.4265222344827,1.0,0.0,0.011845827102661133
110,eval,vanilla_cma,rosenbrock,10,0.1,109,200,10,ok,,200,20,2521.7117508648103,1.0,0.0,0.012810945510864258
111,eval,vanilla_cma,rosenbrock,10,0.2,100,200,10,ok,,200,20,447.2109857820381,1.0,0.0,0.009888887405395508
112,eval,vanilla_cma,rosenbrock,10,0.2,101,200,10,ok,,200,20,1200.449111430349,1.0,0.0,0.008942842483520508
113,eval,vanilla_cma,rosenbrock,10,0.2,102,200,10,ok,,200,20,300.968727851359,1.0,0.0,0.008574962615966797
114,eval,vanilla_cma,rosenbrock,10,0.2,103,200,10,ok,,200,20,442.5194186505834,1.0,0.0,0.01109623908996582
115,eval,vanilla_cma,rosenbrock,10,0.2,104,200,10,ok,,200,20,726.9670353197147,1.0,0.0,0.010250091552734375
116,eval,vanilla_cma,rosenbrock,10,0.2,105,200,10,ok,,200,20,362.8513324903345,1.0,0.0,0.008550882339477539
117,eval,vanilla_cma,rosenbrock,10,0.2,106,200,10,ok,,200,20,159.59342445284003,1.0,0.0,0.008260250091552734
118,eval,vanilla_cma,rosenbrock,10,0.2,107,200,10,ok,,200,20,342.73989704809816,1.0,0.0,0.008565902709960938
119,eval,vanilla_cma,rosenbrock,10,0.2,108,200,10,ok,,200,20,576.2137536756716,1.0,0.0,0.04403495788574219
120,eval,vanilla_cma,rosenbrock,10,0.2,109,200,10,ok,,200,20,2521.959348755518,1.0,0.0,0.008625984191894531
121,eval,vanilla_cma,rosenbrock,20,0.0,100,200,10,ok,,200,20,6558.147137719582,1.0,0.0,0.010163068771362305
