function,dimension,noise_sigma,method,n_pairs,vanilla_median,method_median,median_delta_vs_vanilla,win_rate_vs_vanilla,loss_rate_vs_vanilla,wilcoxon_p_two_sided,ratio_median_vs_vanilla_non_primary,bh_fdr_q_value,variant_id,variant_group,lr_enabled,lr_ema_alpha,lr_snr_up_threshold,lr_snr_down_threshold,lr_sigma_up_factor,lr_sigma_down_factor,lr_sigma_min_ratio,lr_sigma_max_ratio
rosenbrock,10,0.0,lr_adapt_proxy,100,7.963584578782786,8.40352578271337,-0.10568519769696971,0.52,0.48,0.8743284035131398,1.055244117718384,0.8743284035131398,geom_k090_r005,geometry,True,0.2,0.25,0.08,1.03,0.9,0.05,10.0
rosenbrock,10,0.1,lr_adapt_proxy,100,8.307753329260235,8.518409594723547,-0.19870572078040993,0.52,0.48,0.6474574389756316,1.0253565864457448,0.6659562229463639,geom_k090_r005,geometry,True,0.2,0.25,0.08,1.03,0.9,0.05,10.0
rosenbrock,10,0.2,lr_adapt_proxy,100,8.057731884500688,8.413503636242076,0.384785586473011,0.42,0.58,0.5681610364103444,1.0441528406307148,0.6015822738462471,geom_k090_r005,geometry,True,0.2,0.25,0.08,1.03,0.9,0.05,10.0
rosenbrock,20,0.0,lr_adapt_proxy,100,32.17534839079061,52.86335318577851,5.989423258539693,0.4,0.6,0.040775729015492666,1.642976869860695,0.048930874818591194,geom_k090_r005,geometry,True,0.2,0.25,0.08,1.03,0.9,0.05,10.0
rosenbrock,20,0.1,lr_adapt_proxy,100,34.3542372111561,39.27499135098611,4.953140334450769,0.42,0.58,0.14112810604636963,1.1432357269231426,0.15876911930216583,geom_k090_r005,geometry,True,0.2,0.25,0.08,1.03,0.9,0.05,10.0
rosenbrock,20,0.2,lr_adapt_proxy,100,32.3738134768236,43.458027372597854,4.5702859169252275,0.41,0.59,0.06634797493908513,1.3423820892682117,0.07704926121958273,geom_k090_r005,geometry,True,0.2,0.25,0.08,1.03,0.9,0.05,10.0
rosenbrock,40,0.0,lr_adapt_proxy,100,588.945718635892,482.4522753685593,-123.29837654073737,0.66,0.34,0.0012291614999567046,0.8191795272508452,0.0015258556551186677,geom_k090_r005,geometry,True,0.2,0.25,0.08,1.03,0.9,0.05,10.0
rosenbrock,40,0.1,lr_adapt_proxy,100,608.2524167439151,477.8358354734132,-143.47098334341152,0.67,0.33,0.000495785644777983,0.7855880590353502,0.0006610475263706439,geom_k090_r005,geometry,True,0.2,0.25,0.08,1.03,0.9,0.05,10.0
rosenbrock,40,0.2,lr_adapt_proxy,100,579.9679281583306,446.3580551795379,-125.84688157750386,0.68,0.32,0.000278726263093336,0.7696254111790863,0.0004013658188544038,geom_k090_r005,geometry,True,0.2,0.25,0.08,1.03,0.9,0.05,10.0
sphere,10,0.0,lr_adapt_proxy,100,1.0582496805720369e-05,0.004850533712734059,0.004831147169955658,0.0,1.0,3.89655984509591e-18,458.3543753220982,1.6814459908432102e-17,geom_k090_r005,geometry,True,0.2,0.25,0.08,1.03,0.9,0.05,10.0
sphere,10,0.1,lr_adapt_proxy,100,-0.21794884339332712,-0.20433400344118013,0.014830219475554338,0.33,0.67,0.0010501913014833856,0.9375319467624951,0.0013502459590500671,geom_k090_r005,geometry,True,0.2,0.25,0.08,1.03,0.9,0.05,10.0
sphere,10,0.2,lr_adapt_proxy,100,-0.4586406283900504,-0.436512361904764,0.013643014292720884,0.45,0.55,0.17882391733984515,0.9517524939668724,0.1950806370980129,geom_k090_r005,geometry,True,0.2,0.25,0.08,1.03,0.9,0.05,10.0
sphere,20,0.0,lr_adapt_proxy,100,0.012083707862821896,0.07956272102681657,0.0671804208695565,0.0,1.0,3.89655984509591e-18,6.5842969666296085,1.6814459908432102e-17,geom_k090_r005,geometry,True,0.2,0.25,0.08,1.03,0.9,0.05,10.0
sphere,20,0.1,lr_adapt_proxy,100,-0.09197217458066785,-0.030537152886048802,0.050859266843607004,0.24,0.76,1.346344104812648e-09,0.3320259961806707,2.692688209625296e-09,geom_k090_r005,geometry,True,0.2,0.25,0.08,1.03,0.9,0.05,10.0
sphere,20,0.2,lr_adapt_proxy,100,-0.23843736043551503,-0.1581212065033254,0.05506377923306166,0.41,0.59,0.00045892291127167016,0.6631561690437728,0.0006354317232992356,geom_k090_r005,geometry,True,0.2,0.25,0.08,1.03,0.9,0.05,10.0
sphere,40,0.0,lr_adapt_proxy,100,1.6171826672837812,2.733047664114001,1.0404396754179621,0.15,0.85,4.929402031484105e-12,1.6900055382762826,1.0438733713731046e-11,geom_k090_r005,geometry,True,0.2,0.25,0.08,1.03,0.9,0.05,10.0
sphere,40,0.1,lr_adapt_proxy,100,1.5099065684665791,2.661113645518256,0.999750088028943,0.11,0.89,1.0841721534159527e-13,1.7624359686181192,2.6020131681982866e-13,geom_k090_r005,geometry,True,0.2,0.25,0.08,1.03,0.9,0.05,10.0
sphere,40,0.2,lr_adapt_proxy,100,1.6930524834295937,2.6339878294131873,0.962625541920793,0.15,0.85,3.259722913792966e-12,1.555762656617445,7.334376556034174e-12,geom_k090_r005,geometry,True,0.2,0.25,0.08,1.03,0.9,0.05,10.0
ellipsoid_cond1e6,10,0.0,lr_adapt_proxy,100,1084.1895885976264,1239.558764139567,108.06419137031554,0.42,0.58,0.3426319759495927,1.1433044341837917,0.35242146097672394,geom_k090_r020,geometry,True,0.2,0.25,0.08,1.03,0.9,0.2,10.0
ellipsoid_cond1e6,10,0.1,lr_adapt_proxy,100,1084.1407318568422,1239.4497572948744,113.721988118242,0.41,0.59,0.313728575022711,1.1432554103672772,0.3422493545702302,geom_k090_r020,geometry,True,0.2,0.25,0.08,1.03,0.9,0.2,10.0
ellipsoid_cond1e6,10,0.2,lr_adapt_proxy,100,1084.574072559482,1239.3366566905847,108.35977670431714,0.41,0.59,0.3271243358754563,1.1426943424582143,0.3463669438681302,geom_k090_r020,geometry,True,0.2,0.25,0.08,1.03,0.9,0.2,10.0
ellipsoid_cond1e6,20,0.0,lr_adapt_proxy,100,71476.35575055666,45112.18729590447,-23120.08022127459,0.74,0.26,9.134168097678203e-08,0.6311483961681011,1.3153202060656613e-07,geom_k090_r020,geometry,True,0.2,0.25,0.08,1.03,0.9,0.2,10.0
ellipsoid_cond1e6,20,0.1,lr_adapt_proxy,100,71476.28190092588,45112.27081703309,-23120.02457600978,0.74,0.26,9.134168097678203e-08,0.6311502167888886,1.3153202060656613e-07,geom_k090_r020,geometry,True,0.2,0.25,0.08,1.03,0.9,0.2,10.0
ellipsoid_cond1e6,20,0.2,lr_adapt_proxy,100,71476.47036003675,45112.375548646945,-23120.143500999406,0.74,0.26,9.134168097678203e-08,0.6311500179207191,1.3153202060656613e-07,geom_k090_r020,geometry,True,0.2,0.25,0.08,1.03,0.9,0.2,10.0
ellipsoid_cond1e6,40,0.0,lr_adapt_proxy,100,974680.8769914254,406486.71341407904,-488005.03618959256,0.98,0.02,6.12472726248735e-18,0.41704595115151216,1.8374181787462052e-17,geom_k090_r020,geometry,True,0.2,0.25,0.08,1.03,0.9,0.2,10.0
ellipsoid_cond1e6,40,0.1,lr_adapt_proxy,100,974680.8919976151,406486.68640510645,-488005.05535174283,0.98,0.02,6.12472726248735e-18,0.4170459170200918,1.8374181787462052e-17,geom_k090_r020,geometry,True,0.2,0.25,0.08,1.03,0.9,0.2,10.0
ellipsoid_cond1e6,40,0.2,lr_adapt_proxy,100,974680.7746896397,406486.7259572504,-488005.0126153204,0.98,0.02,6.12472726248735e-18,0.41704600779335665,1.8374181787462052e-17,geom_k090_r020,geometry,True,0.2,0.25,0.08,1.03,0.9,0.2,10.0
rastrigin,10,0.0,lr_adapt_proxy,100,32.88772565234917,40.230374596466746,9.417866296691614,0.31,0.69,1.246885016264847e-06,1.2232641144521677,1.662513355019796e-06,geom_k090_r020,geometry,True,0.2,0.25,0.08,1.03,0.9,0.2,10.0
rastrigin,10,0.1,lr_adapt_proxy,100,27.86170059955571,42.076785490836016,11.925380267151032,0.27,0.73,2.1308041293925754e-08,1.5102016239276859,3.6528070789587004e-08,geom_k090_r020,geometry,True,0.2,0.25,0.08,1.03,0.9,0.2,10.0
rastrigin,10,0.2,lr_adapt_proxy,100,29.811595447831188,42.42098953904562,15.316998489410711,0.29,0.71,2.3526577665178756e-08,1.4229694486925482,3.8498036179383417e-08,geom_k090_r020,geometry,True,0.2,0.25,0.08,1.03,0.9,0.2,10.0
rastrigin,20,0.0,lr_adapt_proxy,100,147.32603598588292,148.89032919617722,0.6582244572128957,0.49,0.51,0.48304202468022994,1.010617900629894,0.48304202468022994,geom_k090_r020,geometry,True,0.2,0.25,0.08,1.03,0.9,0.2,10.0
rastrigin,20,0.1,lr_adapt_proxy,100,147.47632172389268,149.06798246562101,4.5972471222791995,0.42,0.58,0.2396320027601666,1.0107926528348616,0.26958600310518743,geom_k090_r020,geometry,True,0.2,0.25,0.08,1.03,0.9,0.2,10.0
rastrigin,20,0.2,lr_adapt_proxy,100,145.7451324744635,148.86135083107808,5.385314995651115,0.4,0.6,0.038464374241245325,1.0213812859730365,0.04466830557047844,geom_k090_r020,geometry,True,0.2,0.25,0.08,1.03,0.9,0.2,10.0
rastrigin,40,0.0,lr_adapt_proxy,100,396.62080226754233,402.027905936788,9.504361647362316,0.41,0.59,0.03109696724673548,1.0136329300892248,0.03731636069608257,geom_k090_r020,geometry,True,0.2,0.25,0.08,1.03,0.9,0.2,10.0
rastrigin,40,0.1,lr_adapt_proxy,100,395.9868836951423,402.11629375697794,9.78345326996245,0.42,0.58,0.009528203114485134,1.0154788209261862,0.012250546861480886,geom_k090_r020,geometry,True,0.2,0.25,0.08,1.03,0.9,0.2,10.0
rastrigin,40,0.2,lr_adapt_proxy,100,398.0030655310753,406.46330111631596,6.2270720503221355,0.44,0.56,0.0136906635189791,1.0212567096033587,0.016995306437353364,geom_k090_r020,geometry,True,0.2,0.25,0.08,1.03,0.9,0.2,10.0
rosenbrock,10,0.0,lr_adapt_proxy,100,7.963584578782786,16.27165786858142,7.881850709206218,0.1,0.9,1.7387179975866166e-09,2.043257996145814,3.2944130480588525e-09,geom_k090_r020,geometry,True,0.2,0.25,0.08,1.03,0.9,0.2,10.0
rosenbrock,10,0.1,lr_adapt_proxy,100,8.307753329260235,15.6088853024961,7.091371620211165,0.11,0.89,1.1227625712821655e-08,1.8788335045433993,2.020972628307898e-08,geom_k090_r020,geometry,True,0.2,0.25,0.08,1.03,0.9,0.2,10.0
rosenbrock,10,0.2,lr_adapt_proxy,100,8.057731884500688,16.23125823813202,8.025485170932791,0.12,0.88,1.0041836658630669e-07,2.014370603389445,1.3904081527334772e-07,geom_k090_r020,geometry,True,0.2,0.25,0.08,1.03,0.9,0.2,10.0
rosenbrock,20,0.0,lr_adapt_proxy,100,32.17534839079061,177.23057144307018,128.54806022691687,0.07,0.93,5.020142338158485e-16,5.508272025231528,1.3901932628746573e-15,geom_k090_r020,geometry,True,0.2,0.25,0.08,1.03,0.9,0.2,10.0
rosenbrock,20,0.1,lr_adapt_proxy,100,34.3542372111561,173.66577611837243,119.5085168511367,0.09,0.91,5.782369267221539e-16,5.0551486575279485,1.4868949544283958e-15,geom_k090_r020,geometry,True,0.2,0.25,0.08,1.03,0.9,0.2,10.0
rosenbrock,20,0.2,lr_adapt_proxy,100,32.3738134768236,175.6159078085521,121.97273966648112,0.07,0.93,9.868085234330903e-16,5.42462839400355,2.368340456239417e-15,geom_k090_r020,geometry,True,0.2,0.25,0.08,1.03,0.9,0.2,10.0
rosenbrock,40,0.0,lr_adapt_proxy,100,588.945718635892,1108.6386015591047,502.14925619599205,0.12,0.88,3.698169679402043e-14,1.8824121926328257,8.320881778654597e-14,geom_k090_r020,geometry,True,0.2,0.25,0.08,1.03,0.9,0.2,10.0
rosenbrock,40,0.1,lr_adapt_proxy,100,608.2524167439151,1108.7331768810209,528.2527939595204,0.12,0.88,4.220912101095269e-14,1.8228175447559578,8.93840209643704e-14,geom_k090_r020,geometry,True,0.2,0.25,0.08,1.03,0.9,0.2,10.0
