slice_level,variant_id,variant_group,function,dimension,n_runs,mean_proxy_time_to_first_floor_gen,median_proxy_time_to_first_floor_gen,mean_proxy_fraction_at_floor,median_proxy_fraction_at_floor,mean_proxy_n_floor_entries,median_proxy_n_floor_entries,mean_proxy_n_floor_exits,median_proxy_n_floor_exits,mean_proxy_n_down_steps,median_proxy_n_down_steps,mean_proxy_n_up_steps,median_proxy_n_up_steps,mean_proxy_n_neutral_steps,median_proxy_n_neutral_steps,mean_proxy_sigma_min_seen,median_proxy_sigma_min_seen,mean_proxy_sigma_max_seen,median_proxy_sigma_max_seen
function_dimension,geom_k095_r005,geometry,rastrigin,40.0,300,91.68333333333334,93.0,0.07896666666666667,0.07,1.12,1.0,0.41,0.0,43.89,43.0,13.52,13.0,42.59,43.0,0.10257689556983164,0.1,1.8046234902947993,1.7983372132724946
function_dimension,geom_k095_r005,geometry,rosenbrock,10.0,300,54.343333333333334,51.0,0.4114,0.46,1.7833333333333334,2.0,0.9166666666666666,1.0,50.25333333333333,52.0,6.76,5.0,42.986666666666665,43.0,0.10008880082144678,0.1,1.8073217297195734,1.8014062264369946
function_dimension,geom_k095_r005,geometry,rosenbrock,20.0,300,82.01,81.0,0.1647,0.18,1.4966666666666666,1.0,0.69,0.0,24.213333333333335,24.0,11.506666666666666,11.0,64.28,65.0,0.10195282801508138,0.1,1.7724578429527307,1.7693186514621042
function_dimension,geom_k095_r005,geometry,rosenbrock,40.0,300,101.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,17.96,18.0,16.666666666666668,17.0,65.37333333333333,66.0,0.1696472890704457,0.170446835288022,1.7927279962054012,1.7929282050800024
function_dimension,geom_k095_r005,geometry,sphere,10.0,300,53.79,54.0,0.4281999999999999,0.43,3.026666666666667,3.0,2.1266666666666665,2.0,49.77333333333333,51.0,9.843333333333334,10.0,40.38333333333333,40.0,0.09999999999999999,0.1,2.0281533257570263,2.0006964254898727
function_dimension,geom_k095_r005,geometry,sphere,20.0,300,80.67,80.0,0.19476666666666667,0.2,1.37,1.0,0.38333333333333336,0.0,20.746666666666666,21.0,22.34,22.5,56.913333333333334,57.0,0.09999999999999999,0.1,1.8810649336855985,1.8535943696230988
function_dimension,geom_k095_r005,geometry,sphere,40.0,300,101.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,10.146666666666667,10.0,33.64666666666667,34.0,56.20666666666666,57.0,0.2253197265553588,0.22451827423504125,1.8220619354656693,1.8007167956632344
function_dimension,geom_k095_r010,geometry,ellipsoid_cond1e6,10.0,300,50.45,47.5,0.3421333333333333,0.345,3.86,4.0,3.09,3.0,57.77333333333333,56.0,3.5433333333333334,2.0,38.68333333333333,39.0,0.20003352979639946,0.2,1.892614167301747,1.853602406788845
function_dimension,geom_k095_r010,geometry,ellipsoid_cond1e6,20.0,300,64.06,61.5,0.2778333333333333,0.27,2.43,2.0,1.68,2.0,55.64,56.0,3.24,2.0,41.12,41.5,0.2018442996193544,0.2,1.8236531067567057,1.793276075954954
function_dimension,geom_k095_r010,geometry,ellipsoid_cond1e6,40.0,300,84.21,83.0,0.1322,0.13,1.4,1.0,0.73,0.5,42.84,42.0,5.88,5.0,51.28,51.5,0.20642760963631285,0.2,1.8130290146241388,1.80394457830931
