function,dimension,noise_sigma,method,n_pairs,vanilla_median,method_median,median_delta_vs_vanilla,win_rate_vs_vanilla,loss_rate_vs_vanilla,wilcoxon_p_two_sided,ratio_median_vs_vanilla_non_primary,bh_fdr_q_value
sphere,10,0.0,pop4x,100,1.0582496805720369e-05,0.42372502840641246,0.42371535577969066,0.0,1.0,3.89655984509591e-18,40040.17541279747,1.2287009464468514e-17
sphere,10,0.1,lr_adapt_proxy,100,-0.2179488433933271,-0.1684039062886362,0.0570608013696232,0.06,0.94,9.815788244911682e-17,0.772676301771979,2.1416265261625488e-16
sphere,10,0.1,pop4x,100,-0.2179488433933271,0.40658949505946407,0.6223792146833794,0.0,1.0,3.89655984509591e-18,-1.8655271977089674,1.2287009464468514e-17
sphere,10,0.2,lr_adapt_proxy,100,-0.4586406283900504,-0.38317826185912934,0.07004816364069688,0.22,0.78,5.311468043336473e-10,0.8354651510141745,7.804606104494409e-10
sphere,10,0.2,pop4x,100,-0.4586406283900504,0.32376034211555127,0.787542082180814,0.0,1.0,3.89655984509591e-18,-0.7059129132367438,1.2287009464468514e-17
sphere,20,0.0,lr_adapt_proxy,100,0.012083707862821851,0.2911805577392357,0.27881179412844537,0.0,1.0,3.89655984509591e-18,24.096954431935238,1.2287009464468514e-17
sphere,20,0.0,pop4x,100,0.012083707862821851,11.24313954099403,11.231205174696628,0.0,1.0,3.89655984509591e-18,930.4378812058166,1.2287009464468514e-17
sphere,20,0.1,lr_adapt_proxy,100,-0.09197217458066781,0.23409546943397275,0.31696201045049377,0.01,0.99,4.0161556854627e-18,-2.5452857943317424,1.2287009464468514e-17
sphere,20,0.1,pop4x,100,-0.09197217458066781,11.07657419055322,11.133080566741324,0.0,1.0,3.89655984509591e-18,-120.43397082927594,1.2287009464468514e-17
sphere,20,0.2,lr_adapt_proxy,100,-0.238437360435515,0.0959979811485494,0.3140517587346249,0.01,0.99,4.0161556854627e-18,-0.40261300063549355,1.2287009464468514e-17
sphere,20,0.2,pop4x,100,-0.238437360435515,10.9877554037744,11.308063444991356,0.0,1.0,3.89655984509591e-18,-46.08235632077474,1.2287009464468514e-17
sphere,40,0.0,lr_adapt_proxy,100,1.6171826672837812,2.749465924587623,1.1681417571731654,0.15,0.85,3.116882971760749e-13,1.7001579229176529,4.774799446101572e-13
sphere,40,0.0,pop4x,100,1.6171826672837812,63.83293280403448,61.905228912705816,0.0,1.0,3.89655984509591e-18,39.47168993051862,1.2287009464468514e-17
sphere,40,0.1,lr_adapt_proxy,100,1.5099065684665791,2.6756925362435284,1.1289715889764125,0.09,0.91,1.6769992593993554e-15,1.7720914605735443,3.4498270479072455e-15
sphere,40,0.1,pop4x,100,1.5099065684665791,61.04738358757111,59.55526982556435,0.0,1.0,3.89655984509591e-18,40.43123254279846,1.2287009464468514e-17
sphere,40,0.2,lr_adapt_proxy,100,1.693052483429594,2.72429837114643,1.0112006513862677,0.13,0.87,3.116882971760749e-13,1.6091045007818394,4.774799446101572e-13
sphere,40,0.2,pop4x,100,1.693052483429594,65.34801112017459,63.293970972034764,0.0,1.0,3.89655984509591e-18,38.59774682696191,1.2287009464468514e-17
