run_index,phase,method,function,dimension,noise_sigma,seed,eval_budget,popsize,phasewall_strength,status,error_message,n_evals,generations,final_best,proxy_sigma_factor_last,proxy_ema_snr_last,phasewall_mean_scale_last,duration_sec
127,tune_baseline,vanilla_cma,rosenbrock,20,0.1,6,1000,10,0.0,ok,,1000,100,20.232696758760493,1.0,0.0,1.0,0.13057589530944824
128,tune_baseline,vanilla_cma,rosenbrock,20,0.1,7,1000,10,0.0,ok,,1000,100,24.7950224489794,1.0,0.0,1.0,0.12825894355773926
129,tune_baseline,vanilla_cma,rosenbrock,20,0.1,8,1000,10,0.0,ok,,1000,100,22.451835413194974,1.0,0.0,1.0,0.14541220664978027
130,tune_baseline,vanilla_cma,rosenbrock,20,0.1,9,1000,10,0.0,ok,,1000,100,156.56272038993475,1.0,0.0,1.0,0.14873194694519043
131,tune_baseline,vanilla_cma,rosenbrock,20,0.1,10,1000,10,0.0,ok,,1000,100,83.99591931203832,1.0,0.0,1.0,0.12394595146179199
132,tune_baseline,vanilla_cma,rosenbrock,20,0.1,11,1000,10,0.0,ok,,1000,100,46.4400420161514,1.0,0.0,1.0,0.10272407531738281
133,tune_baseline,vanilla_cma,rosenbrock,20,0.1,12,1000,10,0.0,ok,,1000,100,22.399118513970798,1.0,0.0,1.0,0.10788989067077637
134,tune_baseline,vanilla_cma,rosenbrock,20,0.1,13,1000,10,0.0,ok,,1000,100,736.9227901930236,1.0,0.0,1.0,0.1136620044708252
135,tune_baseline,vanilla_cma,rosenbrock,20,0.1,14,1000,10,0.0,ok,,1000,100,23.39020625868674,1.0,0.0,1.0,0.09106302261352539
136,tune_baseline,vanilla_cma,rosenbrock,20,0.1,15,1000,10,0.0,ok,,1000,100,29.590194531740142,1.0,0.0,1.0,0.09840726852416992
137,tune_baseline,vanilla_cma,rosenbrock,20,0.1,16,1000,10,0.0,ok,,1000,100,30.558244511216643,1.0,0.0,1.0,0.11065506935119629
138,tune_baseline,vanilla_cma,rosenbrock,20,0.1,17,1000,10,0.0,ok,,1000,100,29.66788206361219,1.0,0.0,1.0,0.10313796997070312
139,tune_baseline,vanilla_cma,rosenbrock,20,0.1,18,1000,10,0.0,ok,,1000,100,20.09498311051866,1.0,0.0,1.0,0.09366774559020996
140,tune_baseline,vanilla_cma,rosenbrock,20,0.1,19,1000,10,0.0,ok,,1000,100,21.171790847419814,1.0,0.0,1.0,0.08146786689758301
141,tune_baseline,vanilla_cma,rosenbrock,20,0.1,20,1000,10,0.0,ok,,1000,100,40.520161847482996,1.0,0.0,1.0,0.08342504501342773
142,tune_baseline,vanilla_cma,rosenbrock,20,0.1,21,1000,10,0.0,ok,,1000,100,22.806610546453143,1.0,0.0,1.0,0.09120678901672363
143,tune_baseline,vanilla_cma,rosenbrock,20,0.1,22,1000,10,0.0,ok,,1000,100,28.33760556219471,1.0,0.0,1.0,0.11614704132080078
144,tune_baseline,vanilla_cma,rosenbrock,20,0.1,23,1000,10,0.0,ok,,1000,100,28.85173533081671,1.0,0.0,1.0,0.09140396118164062
145,tune_baseline,vanilla_cma,rosenbrock,20,0.1,24,1000,10,0.0,ok,,1000,100,26.654889606820735,1.0,0.0,1.0,0.10572600364685059
146,tune_baseline,vanilla_cma,rosenbrock,20,0.1,25,1000,10,0.0,ok,,1000,100,87.44154902417353,1.0,0.0,1.0,0.09888172149658203
147,tune_baseline,vanilla_cma,rosenbrock,20,0.1,26,1000,10,0.0,ok,,1000,100,97.22345470928389,1.0,0.0,1.0,0.12965989112854004
148,tune_baseline,vanilla_cma,rosenbrock,20,0.1,27,1000,10,0.0,ok,,1000,100,21.066706140840825,1.0,0.0,1.0,0.0810689926147461
149,tune_baseline,vanilla_cma,rosenbrock,20,0.1,28,1000,10,0.0,ok,,1000,100,22.592121635405675,1.0,0.0,1.0,0.08045101165771484
150,tune_baseline,vanilla_cma,rosenbrock,20,0.1,29,1000,10,0.0,ok,,1000,100,19.969430327917955,1.0,0.0,1.0,0.07737612724304199
